000;001;002;003;004;005;006;007;008;009;010;011;012;013;014;015;016;017;018;019;020;021;022;023;024;025;026;027;028;029;030;031;032;033;034;035;036;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;033;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;033;000;050;000;000;000;005;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;050;000;010;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;010;000;000;000;000;032;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;020;000;000;000;006;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;005;000;000;000;020;000;000;000;019;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;032;000;000;000;000;000;024;000;000;021;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;019;024;000;000;000;016;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;006;000;000;000;000;000;009;000;000;000;000;000;000;012;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;016;009;000;026;000;000;000;000;000;000;003;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;021;000;000;000;026;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;012;000;000;000;000;000;000;000;000;000;000;000;013;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;003;000;000;000;000;000;000;000;000;000;000;040;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;013;040;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;000;
